标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
【星穹铁道】抽卡时列车脱轨实录,2802656,936,2023/4/30 10:22,19.7万,1.8万,3.7万,3.2万,小强凌凌柒, 28.7万
当你用很烂的配置玩星穹铁道…,536198,734,2023/4/27 3:28,2.8万,2114,7112,2.3万,零度の薄荷猫,288
“希望给大家带来一点点的欢乐呀”我逝去的童年,208305,263,2023/5/1 0:12,3.3万,4783,8739,267,潇FAN,1524
谁懂，咧着的嘴角突然收起来了，是啊，替身终究是替身，那个满心都是她的萧凛已经消失了。,512422,872,2023/5/1 22:02,2.3万,5255,5134,444,不良的凉白开,992
超绝！马嘉祺演唱会惊艳翻唱《盛夏光年》现场饭拍，三段高音燃爆全场！,131317,20761,2023/5/2 22:57,2.2万,1.3万,1.3万,4377,马嘉祺放映馆, 23.1万
吃我一招，菠萝蜜多斩！,654579,622,2023/5/1 18:29,5.5万,3370,4606,2205,故辰_, 4.7万
无无啊，怎么听到妺女嫁过人之后，你就不笑了呢？,220044,646,2023/5/2 19:48,1.3万,2498,3054,288,桑患,5248
主打一个炸裂！可能是你从未见过的“勇气大爆发” >>,1126449,2403,2023/5/1 11:30,19.7万,1.7万,2.0万,1.0万,共青团中央, 1055.6万
《关于狗剩知道狗剩自己的名字叫狗剩这件事狗剩有话要说》,664959,417,2023/5/1 20:28,12.7万,3480,6178,915,大脸艺术家, 23.2万
《我不坤》如果你也喜欢他，那真是 泰裤辣！,237875,145,2023/5/1 20:13,2.5万,6360,5007,5656,周新伦_,1719
双向奔赴的爱！宋亚轩超绝演唱5:23pm&从今以后,129576,6716,2023/5/3 2:11,2.2万,1.5万,1.4万,5573,宋亚轩的留声机, 41.6万
淄 博 烧 烤 加 不 加 香 菜 ？,192169,373,2023/5/2 20:00,2.0万,1746,1483,741,魔鬼厨房Neo, 163.7万
【原创编舞】アイドル - YOASOBI （Live） 星野爱cos,239871,236,2023/5/1 23:59,2.3万,5248,7766,751,习习yu羽羽,972
超级舞曲，神曲再临——「See tinh」,367122,80,2023/5/1 12:00,5.1万,1313,8890,1497,Oscarbamboo, 3.7万
